COMUNA,POSITIVOS CONFIRMADOS,% PC,RECUPERADOS,% R,ACTIVOS,% A
Comuna 1,619,1,482,0.78,137,0.22
CENTRO,229,1,182,0.79,47,0.21
OBRERO,72,1,54,0.75,18,0.25
SANTIAGO,59,1,42,0.71,17,0.29
LAS CUADRAS,54,1,43,0.8,11,0.2
MIRADOR DE AQUINE,33,1,29,0.88,4,0.12
SAN FELIPE,32,1,21,0.66,11,0.34
ALAMEDA DEL RIO,31,1,31,1,0,0
SAN ANDRES,17,1,13,0.76,4,0.24
LAS AMERICAS_,15,1,8,0.53,7,0.47
LOS DOS PUENTES,14,1,12,0.86,2,0.14
CARACHA,13,1,9,0.69,4,0.31
AVENIDA SANTANDER,12,1,11,0.92,1,0.08
BOMBONA,9,1,4,0.44,5,0.56
LA PANADERIA,8,1,7,0.88,1,0.13
SAN JOSE,7,1,5,0.71,2,0.29
SAN ANDRESITO,5,1,4,0.8,1,0.2
SANTANDER,3,1,3,1,0,0
20 DE JULIO,2,1,2,1,0,0
HULLAGUANGA,2,1,1,0.5,1,0.5
AMERICAS NORTE,1,1,1,1,0,0
EL COLORADO,1,1,0,0,1,1
Comuna 2,674,1,548,0.81,126,0.19
FATIMA,138,1,114,0.83,24,0.17
EL RECUERDO,85,1,71,0.84,14,0.16
AIRE LIBRE,45,1,29,0.64,16,0.36
NAVARRETE,41,1,32,0.78,9,0.22
ATAHUALPA,38,1,29,0.76,9,0.24
BELLA VISTA,35,1,29,0.83,6,0.17
EL PRADO,34,1,30,0.88,4,0.12
LAS AMERICAS,34,1,30,0.88,4,0.12
VILLA LUCIA,32,1,27,0.84,5,0.16
JULIAN BUCHELI,27,1,19,0.7,8,0.3
AVENIDA COLOMBIA,24,1,19,0.79,5,0.21
JAVERIANO,22,1,20,0.91,2,0.09
LAS LUNAS II,21,1,21,1,0,0
SAN MIGUEL,21,1,16,0.76,5,0.24
LAS VIOLETAS I,18,1,13,0.72,5,0.28
LOS ALAMOS,13,1,11,0.85,2,0.15
NORMANDIA,10,1,9,0.9,1,0.1
LOS BALCONES,9,1,5,0.56,4,0.44
LA GRAN COLOMBIA,7,1,7,1,0,0
LOS OLIVOS,7,1,7,1,0,0
BATALLON BOYACA,4,1,4,1,0,0
AVENIDA BOYACA,3,1,3,1,0,0
TORRES DEL PRADO,3,1,1,0.33,2,0.67
AVENIDA JULIAN BUCHELLI,1,1,0,0,1,1
PARQUE BOLIVAR,1,1,1,1,0,0
VEINTE DE JULIO,1,1,1,1,0,0
Comuna 3,1036,1,856,0.83,180,0.17
VILLAFLOR II,175,1,136,0.78,39,0.22
SANTA BARBARA,120,1,101,0.84,19,0.16
CAICEDONIA,68,1,57,0.84,11,0.16
LA ESMERALDA,66,1,51,0.77,15,0.23
MERCEDARIO,66,1,55,0.83,11,0.17
SANTA MONICA II,59,1,44,0.75,15,0.25
LAS MERCEDES,58,1,52,0.9,6,0.1
LAS BRISAS,46,1,34,0.74,12,0.26
SANTA MONICA IV,40,1,37,0.93,3,0.08
SANTA MONICA I,37,1,32,0.86,5,0.14
ARNULFO GUERRERO,35,1,30,0.86,5,0.14
BERNAL,33,1,30,0.91,3,0.09
POPULAR,32,1,29,0.91,3,0.09
LA ESTRELLA,28,1,23,0.82,5,0.18
VILLA LAS LAJAS,20,1,16,0.8,4,0.2
SANTA MONICA III,19,1,19,1,0,0
EL EJIDO,16,1,14,0.88,2,0.13
CANCHALA,14,1,10,0.71,4,0.29
VILLA ALEJANDRIA,13,1,12,0.92,1,0.08
VILLA ORIENTE,13,1,10,0.77,3,0.23
LOS PINOS,12,1,9,0.75,3,0.25
GUAMUEZ I,11,1,9,0.82,2,0.18
PIE DE CUESTA I,11,1,9,0.82,2,0.18
PINAR DEL RIO,8,1,8,1,0,0
PUCALPA III,8,1,6,0.75,2,0.25
ROSAL DEL ORIENTE,7,1,3,0.43,4,0.57
VILLAFLOR I,6,1,6,1,0,0
SANTA MONICA V,4,1,4,1,0,0
CASA LOMA,3,1,2,0.67,1,0.33
JOSE ANTONIO GALAN,3,1,3,1,0,0
SANTA CATALINA,3,1,3,1,0,0
PUCALPA ALTO,1,1,1,1,0,0
SANTO SEPULCRO,1,1,1,1,0,0
Comuna 4,923,1,790,0.86,133,0.14
MIRAFLORES II,128,1,109,0.85,19,0.15
LORENZO DE ALDANA,126,1,111,0.88,15,0.12
EL ROSARIO,116,1,100,0.86,16,0.14
SANTA FE I,74,1,69,0.93,5,0.07
EL TEJAR,71,1,56,0.79,15,0.21
BELEN,67,1,59,0.88,8,0.12
SENDOYA,62,1,45,0.73,17,0.27
BETANIA,41,1,32,0.78,9,0.22
VILLADOCENTE,29,1,27,0.93,2,0.07
CHILE,26,1,23,0.88,3,0.12
LA PAZ,23,1,20,0.87,3,0.13
DOCE DE OCTUBRE I,22,1,20,0.91,2,0.09
VILLA OLIMPICA,17,1,17,1,0,0
VILLA VICTORIA,17,1,12,0.71,5,0.29
EL TRIUNFO,15,1,12,0.8,3,0.2
PUERTA DEL SOL,15,1,13,0.87,2,0.13
VILLAS DEL SOL,14,1,10,0.71,4,0.29
PRAGA,11,1,10,0.91,1,0.09
EL PORVENIR,10,1,8,0.8,2,0.2
ALTOS DEL CAMPO,9,1,8,0.89,1,0.11
MIRAFLORES I,8,1,8,1,0,0
LOS ELISEOS,6,1,6,1,0,0
SAN JUAN DE LOS PASTOS,6,1,6,1,0,0
ALTOS DE LORENZO,5,1,5,1,0,0
SIETE DE AGOSTO,2,1,1,0.5,1,0.5
AVENIDA IDEMA,1,1,1,1,0,0
LAUREANO GOMEZ,1,1,1,1,0,0
RINCON COLONIAL,1,1,1,1,0,0
Comuna 5,893,1,744,0.83,149,0.17
LA MINGA,135,1,114,0.84,21,0.16
CHAMBU II,125,1,111,0.89,14,0.11
EL PILAR,107,1,94,0.88,13,0.12
CHAMBU I,79,1,70,0.89,9,0.11
SANTA CLARA,62,1,41,0.66,21,0.34
CHAPAL I,61,1,48,0.79,13,0.21
LA ROSA,50,1,41,0.82,9,0.18
SAN MARTIN,45,1,38,0.84,7,0.16
EMILIO BOTERO I,38,1,34,0.89,4,0.11
CANTARANA,31,1,23,0.74,8,0.26
ALTOS DE CHAPALITO I,24,1,19,0.79,5,0.21
VENECIA,23,1,16,0.7,7,0.3
EL PROGRESO,14,1,9,0.64,5,0.36
ALTOS DE CHAPALITO III,13,1,12,0.92,1,0.08
MADRIGAL,13,1,12,0.92,1,0.08
LOS ROBLES,11,1,10,0.91,1,0.09
ALTOS DE CHAPALITO II,10,1,9,0.9,1,0.1
MARIA ISABEL I,10,1,3,0.3,7,0.7
BASE MILITAR,8,1,8,1,0,0
LAS LUNAS I,8,1,8,1,0,0
